date,value,metric,source,fetched_at
2014-01-01,6.6,unemployment_bls,BLS,2026-03-15 21:39:21.448897
2013-12-01,6.7,unemployment_bls,BLS,2026-03-15 21:39:21.448898
2013-11-01,6.9,unemployment_bls,BLS,2026-03-15 21:39:21.448899
2013-10-01,7.2,unemployment_bls,BLS,2026-03-15 21:39:21.448899
2013-09-01,7.2,unemployment_bls,BLS,2026-03-15 21:39:21.448900
2013-08-01,7.2,unemployment_bls,BLS,2026-03-15 21:39:21.448900
2013-07-01,7.3,unemployment_bls,BLS,2026-03-15 21:39:21.448902
2013-06-01,7.5,unemployment_bls,BLS,2026-03-15 21:39:21.448902
2013-05-01,7.5,unemployment_bls,BLS,2026-03-15 21:39:21.448903
2013-04-01,7.6,unemployment_bls,BLS,2026-03-15 21:39:21.448903
2013-03-01,7.5,unemployment_bls,BLS,2026-03-15 21:39:21.448904
2013-02-01,7.7,unemployment_bls,BLS,2026-03-15 21:39:21.448905
2013-01-01,8.0,unemployment_bls,BLS,2026-03-15 21:39:21.448905
2012-12-01,7.9,unemployment_bls,BLS,2026-03-15 21:39:21.448907
2012-11-01,7.7,unemployment_bls,BLS,2026-03-15 21:39:21.448907
2012-10-01,7.8,unemployment_bls,BLS,2026-03-15 21:39:21.448908
2012-09-01,7.8,unemployment_bls,BLS,2026-03-15 21:39:21.448910
2012-08-01,8.1,unemployment_bls,BLS,2026-03-15 21:39:21.448910
2012-07-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448911
2012-06-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448911
2012-05-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448912
2012-04-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448912
2012-03-01,8.2,unemployment_bls,BLS,2026-03-15 21:39:21.448913
2012-02-01,8.3,unemployment_bls,BLS,2026-03-15 21:39:21.448914
2012-01-01,8.3,unemployment_bls,BLS,2026-03-15 21:39:21.448915
2011-12-01,8.5,unemployment_bls,BLS,2026-03-15 21:39:21.448915
2011-11-01,8.6,unemployment_bls,BLS,2026-03-15 21:39:21.448916
2011-10-01,8.8,unemployment_bls,BLS,2026-03-15 21:39:21.448916
2011-09-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448917
2011-08-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448918
2011-07-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448918
2011-06-01,9.1,unemployment_bls,BLS,2026-03-15 21:39:21.448919
2011-05-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448920
2011-04-01,9.1,unemployment_bls,BLS,2026-03-15 21:39:21.448921
2011-03-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448921
2011-02-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448922
2011-01-01,9.1,unemployment_bls,BLS,2026-03-15 21:39:21.448923
2010-12-01,9.3,unemployment_bls,BLS,2026-03-15 21:39:21.448923
2010-11-01,9.8,unemployment_bls,BLS,2026-03-15 21:39:21.448924
2010-10-01,9.4,unemployment_bls,BLS,2026-03-15 21:39:21.448925
2010-09-01,9.5,unemployment_bls,BLS,2026-03-15 21:39:21.448925
2010-08-01,9.5,unemployment_bls,BLS,2026-03-15 21:39:21.448926
2010-07-01,9.4,unemployment_bls,BLS,2026-03-15 21:39:21.448927
2010-06-01,9.4,unemployment_bls,BLS,2026-03-15 21:39:21.448927
2010-05-01,9.6,unemployment_bls,BLS,2026-03-15 21:39:21.448929
2010-04-01,9.9,unemployment_bls,BLS,2026-03-15 21:39:21.448929
2010-03-01,9.9,unemployment_bls,BLS,2026-03-15 21:39:21.448930
2010-02-01,9.8,unemployment_bls,BLS,2026-03-15 21:39:21.448930
2010-01-01,9.8,unemployment_bls,BLS,2026-03-15 21:39:21.448931
2009-12-01,9.9,unemployment_bls,BLS,2026-03-15 21:39:21.448931
2009-11-01,9.9,unemployment_bls,BLS,2026-03-15 21:39:21.448932
2009-10-01,10.0,unemployment_bls,BLS,2026-03-15 21:39:21.448933
2009-09-01,9.8,unemployment_bls,BLS,2026-03-15 21:39:21.448933
2009-08-01,9.6,unemployment_bls,BLS,2026-03-15 21:39:21.448934
2009-07-01,9.5,unemployment_bls,BLS,2026-03-15 21:39:21.448934
2009-06-01,9.5,unemployment_bls,BLS,2026-03-15 21:39:21.448935
2009-05-01,9.4,unemployment_bls,BLS,2026-03-15 21:39:21.448936
2009-04-01,9.0,unemployment_bls,BLS,2026-03-15 21:39:21.448936
2009-03-01,8.7,unemployment_bls,BLS,2026-03-15 21:39:21.448938
2009-02-01,8.3,unemployment_bls,BLS,2026-03-15 21:39:21.448938
2009-01-01,7.8,unemployment_bls,BLS,2026-03-15 21:39:21.448939
2008-12-01,7.3,unemployment_bls,BLS,2026-03-15 21:39:21.448939
2008-11-01,6.8,unemployment_bls,BLS,2026-03-15 21:39:21.448940
2008-10-01,6.5,unemployment_bls,BLS,2026-03-15 21:39:21.448941
2008-09-01,6.1,unemployment_bls,BLS,2026-03-15 21:39:21.448942
2008-08-01,6.1,unemployment_bls,BLS,2026-03-15 21:39:21.448943
2008-07-01,5.8,unemployment_bls,BLS,2026-03-15 21:39:21.448943
2008-06-01,5.6,unemployment_bls,BLS,2026-03-15 21:39:21.448944
2008-05-01,5.4,unemployment_bls,BLS,2026-03-15 21:39:21.448944
2008-04-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448945
2008-03-01,5.1,unemployment_bls,BLS,2026-03-15 21:39:21.448946
2008-02-01,4.9,unemployment_bls,BLS,2026-03-15 21:39:21.448946
2008-01-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448947
2007-12-01,5.0,unemployment_bls,BLS,2026-03-15 21:39:21.448947
2007-11-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448948
2007-10-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448949
2007-09-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448950
2007-08-01,4.6,unemployment_bls,BLS,2026-03-15 21:39:21.448950
2007-07-01,4.7,unemployment_bls,BLS,2026-03-15 21:39:21.448951
2007-06-01,4.6,unemployment_bls,BLS,2026-03-15 21:39:21.448952
2007-05-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.448953
2007-04-01,4.5,unemployment_bls,BLS,2026-03-15 21:39:21.448953
2007-03-01,4.4,unemployment_bls,BLS,2026-03-15 21:39:21.448954
2007-02-01,4.5,unemployment_bls,BLS,2026-03-15 21:39:21.448954
